Country Name,Negative Affect
Kazakhstan,0.1575294117647059
Iceland,0.16094117647058823
Singapore,0.16376470588235292
China,0.1723529411764706
Uzbekistan,0.17511764705882352
Djibouti,0.17794117647058824
Sweden,0.18076470588235294
Finland,0.18352941176470589
Japan,0.18429411764705883
Austria,0.18458823529411764
Turkmenistan,0.18505882352941175
Mongolia,0.18776470588235294
Switzerland,0.1901764705882353
Thailand,0.19258823529411764
Estonia,0.1928235294117647
Somalia,0.19747058823529412
Norway,0.1981764705882353
Denmark,0.2001764705882353
New Zealand,0.20270588235294115
Germany,0.20623529411764707
Tajikistan,0.20641176470588235
Mauritius,0.2069411764705882
Netherlands,0.20829411764705882
Luxembourg,0.20894117647058824
Tanzania,0.20911764705882355
Kenya,0.20976470588235294
Panama,0.21294117647058824
Australia,0.21541176470588236
Belarus,0.2154705882352941
Ireland,0.2177058823529412
Latvia,0.219
Malaysia,0.2191764705882353
Mauritania,0.21988235294117647
Bulgaria,0.22311764705882353
Zimbabwe,0.22347058823529412
South Africa,0.22347058823529412
Trinidad and Tobago,0.22399999999999998
Namibia,0.22464705882352942
United Kingdom,0.22694117647058823
Ethiopia,0.22770588235294117
Paraguay,0.2296470588235294
Senegal,0.22976470588235295
Poland,0.23005882352941176
Nigeria,0.23052941176470587
Sri Lanka,0.23358823529411765
Lesotho,0.23441176470588238
Ukraine,0.23470588235294118
Ghana,0.23523529411764707
Mexico,0.23570588235294115
Botswana,0.23670588235294118
