Country Name,Generosity
Greece,-0.2747058823529412
Georgia,-0.25223529411764706
Lithuania,-0.2376470588235294
Morocco,-0.2188235294117647
Gabon,-0.19894117647058823
Armenia,-0.19805882352941176
Botswana,-0.1952941176470588
Tunisia,-0.18958823529411764
Portugal,-0.1837058823529412
Belarus,-0.17647058823529413
Japan,-0.16894117647058823
Romania,-0.16370588235294117
Namibia,-0.16041176470588234
Algeria,-0.15888235294117647
China,-0.15500000000000003
Azerbaijan,-0.15470588235294117
Argentina,-0.15464705882352942
Estonia,-0.14794117647058824
Bulgaria,-0.14482352941176468
Hungary,-0.144
Croatia,-0.1371764705882353
Eswatini,-0.1331764705882353
Kazakhstan,-0.1285294117647059
Jordan,-0.12623529411764706
South Africa,-0.125
Latvia,-0.12435294117647058
Mexico,-0.12376470588235294
El Salvador,-0.12252941176470589
Ecuador,-0.11411764705882353
Peru,-0.11064705882352942
Czechia,-0.11023529411764706
Lesotho,-0.10770588235294118
Angola,-0.10223529411764706
Montenegro,-0.09976470588235295
Libya,-0.09494117647058822
Uruguay,-0.09382352941176471
Moldova,-0.09252941176470587
Saudi Arabia,-0.09064705882352941
France,-0.09052941176470587
Colombia,-0.08947058823529411
Spain,-0.08776470588235294
Ukraine,-0.08005882352941177
Albania,-0.07594117647058823
Poland,-0.07458823529411765
Zimbabwe,-0.07117647058823529
Jamaica,-0.0701764705882353
Brazil,-0.06970588235294117
Serbia,-0.06723529411764706
Dominican Republic,-0.06470588235294118
Panama,-0.06276470588235294
