Country Name,Positive Affect
Afghanistan,0.4254705882352941
Lebanon,0.43876470588235295
Georgia,0.4496470588235294
Bangladesh,0.48182352941176476
Serbia,0.49682352941176466
Nepal,0.4970588235294117
Armenia,0.5005882352941177
Pakistan,0.5018235294117648
Iraq,0.5132941176470588
Belarus,0.5209411764705882
Tunisia,0.5213529411764706
Azerbaijan,0.522764705882353
Montenegro,0.5229411764705882
North Macedonia,0.5302941176470588
Bosnia and Herzegovina,0.5341764705882353
Algeria,0.5344117647058824
Sudan,0.535
Mongolia,0.5372352941176471
Bulgaria,0.5442352941176472
Ukraine,0.5455294117647059
Central African Republic,0.5466470588235294
Togo,0.5475882352941176
Lithuania,0.5484705882352942
Albania,0.5519411764705882
Sierra Leone,0.5555882352941177
Chad,0.5578235294117647
Haiti,0.562235294117647
Croatia,0.5679411764705883
Jordan,0.5682352941176471
Burundi,0.5701176470588235
Moldova,0.5718235294117647
South Sudan,0.5721176470588235
Ethiopia,0.5744705882352941
Gabon,0.578764705882353
Benin,0.5788823529411764
Turkmenistan,0.5804117647058824
Romania,0.5871176470588235
Tajikistan,0.5878235294117647
Greece,0.5904117647058823
India,0.5913529411764706
Latvia,0.5915294117647059
Burkina Faso,0.5931176470588235
Djibouti,0.6008823529411764
Mozambique,0.602
Slovenia,0.604
Liberia,0.6051176470588235
Hungary,0.6127058823529412
Israel,0.6138235294117648
Cameroon,0.6139411764705882
Malawi,0.6174705882352941
