Country Name,Freedom To Make Life Choices
Norway,0.9512352941176471
Finland,0.9426470588235293
Denmark,0.9418823529411765
Cambodia,0.9351764705882353
Sweden,0.9281764705882353
Iceland,0.9221176470588235
Somalia,0.9199411764705883
Uzbekistan,0.9198235294117647
Canada,0.9191176470588235
Switzerland,0.9178235294117647
New Zealand,0.9155294117647059
Australia,0.9151176470588236
United Arab Emirates,0.9150588235294118
Luxembourg,0.9138235294117647
Slovenia,0.9111764705882353
Costa Rica,0.9079411764705883
Qatar,0.9036470588235295
Netherlands,0.901
Philippines,0.8986470588235295
Austria,0.8968823529411765
Ireland,0.8917647058823529
Thailand,0.8750588235294118
Malta,0.8743529411764707
Bahrain,0.8727058823529412
Uruguay,0.8668823529411764
Rwanda,0.8651764705882353
Dominican Republic,0.8609411764705882
Germany,0.8561176470588235
Belgium,0.8524117647058823
Singapore,0.8505294117647059
China,0.8470588235294118
United Kingdom,0.8432941176470589
Mauritius,0.8421176470588234
United States,0.8354117647058823
Kuwait,0.8351176470588235
Trinidad and Tobago,0.8319411764705882
Bolivia,0.8310000000000001
Malaysia,0.8309411764705882
Portugal,0.827
France,0.825529411764706
Bhutan,0.8249411764705882
Nicaragua,0.8223529411764706
Panama,0.8217058823529412
Botswana,0.8155294117647058
Poland,0.8141764705882354
Czechia,0.8123529411764706
Colombia,0.811235294117647
Jamaica,0.8099999999999999
Sri Lanka,0.8091176470588235
Kazakhstan,0.8074117647058824
