Country Name,Life Ladder
Denmark,7.663470588235294
Finland,7.6184705882352945
Norway,7.515294117647059
Switzerland,7.515
Netherlands,7.460823529411765
Iceland,7.391470588235294
Sweden,7.3772352941176464
Canada,7.327705882352941
New Zealand,7.283176470588235
Israel,7.26564705882353
Australia,7.2564705882352944
Austria,7.213
Luxembourg,7.0797647058823525
Costa Rica,7.0784705882352945
United States,7.059117647058823
Ireland,7.051
Belgium,6.968705882352942
United Kingdom,6.896176470588236
Germany,6.815058823529411
United Arab Emirates,6.795823529411765
Mexico,6.680294117647058
France,6.6388823529411765
Czechia,6.614941176470588
Panama,6.604588235294118
Qatar,6.569058823529411
Brazil,6.554176470588235
Saudi Arabia,6.518
Singapore,6.497529411764706
Spain,6.489117647058824
Chile,6.364764705882353
Malta,6.352764705882353
Kuwait,6.322176470588236
Uruguay,6.300058823529412
Argentina,6.2835882352941175
Trinidad and Tobago,6.2811176470588235
Italy,6.279588235294118
Guatemala,6.249882352941177
Colombia,6.171176470588235
Cyprus,6.151058823529412
Slovenia,6.109705882352941
Thailand,6.056294117647059
Bahrain,6.015
El Salvador,6.011882352941177
Japan,6.006823529411765
Poland,5.986529411764706
Lithuania,5.958294117647059
Kazakhstan,5.844588235294118
Malaysia,5.843705882352942
Uzbekistan,5.799647058823529
Jamaica,5.767882352941177
