Country Name,Social Support
Iceland,0.977235294117647
Denmark,0.9560588235294117
New Zealand,0.9529411764705882
Finland,0.952235294117647
Ireland,0.9509411764705883
Norway,0.9473529411764706
Australia,0.9450588235294117
Turkmenistan,0.9408823529411765
Switzerland,0.9397058823529412
Spain,0.9381176470588235
United Kingdom,0.9342941176470587
Canada,0.9335882352941177
Netherlands,0.9329411764705882
Slovenia,0.9308823529411765
Sweden,0.9280588235294118
Mongolia,0.9245294117647059
Malta,0.9241176470588236
Lithuania,0.9240588235294117
Austria,0.9227058823529412
United States,0.9215882352941176
France,0.92
Czechia,0.9195294117647058
Luxembourg,0.9194705882352942
Belgium,0.919
Germany,0.918235294117647
Uzbekistan,0.9172941176470588
Estonia,0.9165882352941177
Poland,0.9118823529411765
Hungary,0.9085882352941176
Israel,0.907235294117647
Belarus,0.906764705882353
Paraguay,0.9057647058823529
Uruguay,0.9031176470588235
Argentina,0.9024117647058825
Japan,0.902
Panama,0.9018823529411765
Kazakhstan,0.9003529411764707
Costa Rica,0.8994705882352941
Italy,0.8937058823529411
Brazil,0.8881764705882353
Thailand,0.8881764705882353
Trinidad and Tobago,0.8878823529411765
Bulgaria,0.8826470588235293
Colombia,0.881235294117647
Bahrain,0.8805294117647059
Singapore,0.8801764705882353
Latvia,0.8796470588235294
Portugal,0.8790588235294118
Jamaica,0.8785882352941177
Kuwait,0.8741764705882353
