Country Name,Negative Affect
Iraq,0.5012941176470589
South Sudan,0.4754117647058824
Armenia,0.4441764705882353
Togo,0.4135294117647059
Central African Republic,0.413
Sierra Leone,0.3961764705882353
Bolivia,0.396
Cambodia,0.3744705882352941
Liberia,0.37323529411764705
Chad,0.3725294117647059
Peru,0.3715294117647059
Montenegro,0.3659411764705882
Libya,0.3622352941176471
Afghanistan,0.36005882352941176
Lebanon,0.3584117647058824
Malta,0.35835294117647054
Bahrain,0.3542941176470588
Angola,0.35105882352941176
Guinea,0.34611764705882353
Serbia,0.34358823529411764
Philippines,0.3401764705882353
Pakistan,0.33829411764705886
Benin,0.3381764705882353
Gabon,0.3366470588235294
Jordan,0.33576470588235297
Uganda,0.33482352941176474
India,0.322
Portugal,0.32194117647058823
Ecuador,0.3210588235294118
Mozambique,0.3191764705882353
Haiti,0.3184117647058824
Spain,0.31788235294117645
Italy,0.3171176470588235
Cyprus,0.31676470588235295
North Macedonia,0.3160588235294118
Tunisia,0.3150588235294118
Nicaragua,0.31370588235294117
Brazil,0.3120588235294117
Bosnia and Herzegovina,0.3106470588235294
Burkina Faso,0.3100588235294118
Cameroon,0.30958823529411766
Qatar,0.30764705882352944
Chile,0.3009411764705882
Colombia,0.29976470588235293
Greece,0.29688235294117643
Israel,0.2961764705882353
El Salvador,0.293
Croatia,0.29058823529411765
Zambia,0.29
Dominican Republic,0.28911764705882353
