Country Name,Social Support
Central African Republic,0.3831176470588235
Burundi,0.4460588235294118
Togo,0.4488235294117647
Benin,0.46270588235294113
Afghanistan,0.48182352941176476
South Sudan,0.5549411764705883
Pakistan,0.5644705882352942
Malawi,0.5735882352941176
Bangladesh,0.5879411764705882
Georgia,0.595
Rwanda,0.5992941176470589
Somalia,0.6021176470588234
India,0.6047058823529411
Guinea,0.6099411764705882
Haiti,0.6112941176470588
Comoros,0.649
Morocco,0.6532352941176471
Sierra Leone,0.6667058823529411
Chad,0.6694117647058823
Niger,0.6775882352941176
Ghana,0.6824705882352942
Liberia,0.6835294117647058
Ethiopia,0.6886470588235295
Madagascar,0.7049411764705882
Cameroon,0.7084117647058823
Cambodia,0.7225294117647059
Tunisia,0.7230588235294118
Burkina Faso,0.725764705882353
Albania,0.727
Myanmar,0.7271764705882353
Lebanon,0.728
Senegal,0.7284117647058823
Armenia,0.7301764705882353
Zambia,0.7325882352941177
Gabon,0.7333529411764707
Angola,0.7380588235294118
Djibouti,0.7410588235294117
Mozambique,0.7412941176470589
Mali,0.7450588235294118
Tanzania,0.7456470588235294
Iraq,0.7498235294117647
Nigeria,0.7568235294117647
Mauritania,0.7644705882352941
Azerbaijan,0.7677058823529412
Kenya,0.7697647058823529
Tajikistan,0.7785294117647058
Nepal,0.7795294117647059
El Salvador,0.7798235294117647
Zimbabwe,0.7848235294117647
Romania,0.7870588235294118
