Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2009,82.04390244,7.525,0.938,0.891,0.118,0.342,0.741,0.202,Europe,1.0
Iceland,2009,81.988,7.139,0.977,0.896,0.26,0.696,0.837,0.155,Europe,0.9928952389597367
Australia,2009,81.49,7.308,0.951,0.92,0.307,0.428,0.739,0.218,Oceania,0.9825128811487617
Israel,2009,81.40487805,7.353,0.937,0.593,0.167,0.923,0.62,0.327,Asia,0.9782845133265682
Canada,2009,81.06609756,7.488,0.943,0.915,0.241,0.413,0.793,0.248,North America,0.975853988235351
Japan,2009,82.93146341,5.845,0.888,0.73,-0.217,0.74,0.713,0.169,Asia,0.9748127229395702
Sweden,2009,81.35121951,7.266,0.903,0.864,0.216,0.292,0.761,0.151,Europe,0.9748009419359092
Norway,2009,80.63,7.591,0.943,0.95,0.058,0.335,0.769,0.173,Europe,0.9643756027029029
Netherlands,2009,80.383,7.582,0.946,0.894,0.352,0.406,0.698,0.189,Europe,0.9598479180338026
Italy,2009,81.63658537,6.334,0.88,0.701,0.235,0.89,0.715,0.279,Europe,0.9592318071056094
New Zealand,2009,80.477,7.358,0.953,0.899,0.276,0.266,0.786,0.232,Oceania,0.9561376582639308
Austria,2009,80.48,7.234,0.93,0.891,0.242,0.563,0.71,0.165,Europe,0.9526503325574832
France,2009,81.41463415,6.283,0.918,0.798,-0.088,0.654,0.691,0.303,Europe,0.9486118859794889
Luxembourg,2009,80.63658537,6.958,0.939,0.939,0.116,0.432,0.713,0.238,Europe,0.9484725845683679
Spain,2009,81.47560976,6.199,0.929,0.749,-0.133,0.798,0.645,0.336,Europe,0.9475708797118584
Ireland,2009,80.1902439,7.046,0.959,0.835,0.308,0.58,0.745,0.233,Europe,0.9412075490641698
Finland,2009,79.717,7.579,0.946,0.931,0.039,0.241,0.707,0.162,Europe,0.9382392377431701
United Kingdom,2009,80.05121951,6.907,0.964,0.816,0.336,0.559,0.739,0.231,Europe,0.933791690173338
Singapore,2009,81.24146341,6.145,0.866,0.776,-0.081,0.035,0.45,0.208,Asia,0.9332939076034551
Belgium,2009,79.859,7.072,0.919,0.864,0.009,0.605,0.734,0.239,Europe,0.9298632865030284
