Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Sweden,2022,83.1097561,7.431,0.949,0.939,0.232,0.213,0.75,0.163,Europe,1.0
Australia,2022,83.2,7.035,0.942,0.854,0.153,0.545,0.711,0.244,Oceania,0.9911028447532051
Israel,2022,82.7,7.662,0.954,0.775,-0.007,0.655,0.583,0.183,Asia,0.990952220340136
Switzerland,2022,83.45365854,6.884,0.881,0.848,0.128,0.235,0.71,0.18,Europe,0.9908322578436447
Luxembourg,2022,83.04634146,7.228,0.878,0.915,0.023,0.345,0.718,0.218,Europe,0.9894732467594226
Japan,2022,83.99634146,6.178,0.899,0.789,-0.237,0.643,0.67,0.165,Asia,0.9832107471237092
Ireland,2022,83.05609756,6.87,0.906,0.895,0.138,0.358,0.738,0.234,Europe,0.9812108054095638
Norway,2022,82.56097561,7.295,0.927,0.939,0.182,0.314,0.759,0.211,Europe,0.9802977332523392
Iceland,2022,82.17073171,7.449,0.985,0.936,0.222,0.692,0.768,0.178,Europe,0.9766583027343947
New Zealand,2022,82.76097561,6.975,0.956,0.831,0.183,0.281,0.706,0.21,Oceania,0.9751069842480847
Spain,2022,83.08292683,6.337,0.934,0.781,-0.001,0.673,0.636,0.32,Europe,0.965083254559421
Netherlands,2022,81.71463415,7.39,0.929,0.868,0.223,0.459,0.711,0.198,Europe,0.9584183363139062
Malta,2022,82.7,6.299,0.932,0.838,0.246,0.758,0.671,0.37,Europe,0.9575773263518421
Singapore,2022,82.89512195,6.333,0.852,0.873,0.088,0.101,0.688,0.209,Asia,0.9573201626844466
Italy,2022,82.9,6.258,0.869,0.711,0.026,0.819,0.624,0.298,Europe,0.9568242042864927
Finland,2022,81.18780488,7.729,0.974,0.959,0.101,0.19,0.741,0.191,Europe,0.9518884994903443
Denmark,2022,81.30487805,7.545,0.97,0.93,0.222,0.203,0.787,0.205,Europe,0.9516588890833722
United Kingdom,2022,82.05853659,6.722,0.863,0.857,0.308,0.426,0.723,0.27,Europe,0.9494881172704676
France,2022,82.22926829,6.614,0.866,0.798,-0.027,0.533,0.688,0.249,Europe,0.946867591387981
Belgium,2022,81.69756098,6.857,0.923,0.89,0.095,0.483,0.718,0.235,Europe,0.941621594797324
