Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2016,83.60243902,7.459,0.928,0.934,0.081,0.302,0.758,0.206,Europe,1.0
Norway,2016,82.40731707,7.596,0.96,0.954,0.125,0.41,0.809,0.209,Europe,0.9722571203365972
Iceland,2016,82.20487805,7.51,0.985,0.952,0.274,0.719,0.808,0.158,Europe,0.9674747249943563
Japan,2016,83.98487805,5.955,0.9,0.836,-0.069,0.698,0.69,0.192,Asia,0.9664185260997568
Australia,2016,82.44878049,7.25,0.942,0.922,0.233,0.399,0.736,0.236,Oceania,0.9635310838832132
Sweden,2016,82.30731707,7.369,0.912,0.918,0.141,0.246,0.752,0.201,Europe,0.960576469120519
Spain,2016,83.32926829,6.319,0.942,0.768,-0.054,0.819,0.63,0.301,Europe,0.9586387194970312
Luxembourg,2016,82.68536585,6.967,0.941,0.882,0.011,0.356,0.706,0.192,Europe,0.9583916359618619
Israel,2016,82.40731707,7.159,0.89,0.772,0.147,0.804,0.602,0.263,Asia,0.9574305863914445
Canada,2016,81.92487805,7.245,0.924,0.912,0.205,0.385,0.768,0.237,North America,0.948167863480178
Malta,2016,82.45365854,6.591,0.93,0.916,0.339,0.696,0.645,0.355,Europe,0.9472871437981076
Netherlands,2016,81.56097561,7.541,0.926,0.907,0.233,0.433,0.737,0.215,Europe,0.9463194461370674
Italy,2016,83.24390244,5.955,0.927,0.624,-0.086,0.903,0.632,0.339,Europe,0.9444264319313302
Finland,2016,81.42926829,7.66,0.954,0.948,-0.033,0.25,0.769,0.182,Europe,0.9428581994535311
France,2016,82.57317073,6.475,0.885,0.787,-0.097,0.623,0.715,0.27,Europe,0.9403568944672713
New Zealand,2016,81.65853659,7.226,0.937,0.927,0.259,0.278,0.777,0.207,Oceania,0.9403218542171691
Singapore,2016,82.84634146,6.033,0.925,0.904,0.137,0.047,0.745,0.111,Asia,0.9361710172628207
Ireland,2016,81.65365854,7.041,0.958,0.875,0.169,0.399,0.744,0.211,Europe,0.9338915890004763
Austria,2016,81.64146341,7.048,0.926,0.889,0.074,0.524,0.713,0.197,Europe,0.9327389940695061
Denmark,2016,80.85365854,7.558,0.954,0.948,0.132,0.21,0.786,0.208,Europe,0.9256066740154222
