Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2014,83.19756098,7.493,0.959,0.949,0.053,0.283,0.788,0.189,Europe,1.0
Iceland,2014,82.242,7.507,0.972,0.928,0.29,0.696,0.801,0.162,Europe,0.9788439732777997
Australia,2014,82.3,7.289,0.924,0.923,0.313,0.442,0.74,0.245,Oceania,0.9724880225595397
Spain,2014,83.22926829,6.456,0.948,0.738,-0.034,0.854,0.683,0.335,Europe,0.9716795624414021
Norway,2014,82.1,7.444,0.941,0.956,0.173,0.405,0.802,0.194,Europe,0.97045389782837
Sweden,2014,82.25365854,7.239,0.933,0.945,0.197,0.25,0.793,0.208,Europe,0.9682174228892214
Israel,2014,82.15365854,7.401,0.889,0.707,0.088,0.818,0.567,0.271,Asia,0.9666022506772084
Singapore,2014,82.49512195,7.062,0.822,0.835,0.148,0.133,0.774,0.18,Asia,0.966008644845989
Japan,2014,83.58780488,5.923,0.9,0.838,-0.146,0.617,0.687,0.189,Asia,0.9641421818810928
Canada,2014,81.78439024,7.304,0.918,0.939,0.264,0.442,0.791,0.259,North America,0.9588993593410596
Netherlands,2014,81.70731707,7.321,0.909,0.91,0.326,0.457,0.776,0.221,Europe,0.9572160199710343
Luxembourg,2014,82.22926829,6.891,0.875,0.938,0.097,0.366,0.76,0.17,Europe,0.9562003693651887
France,2014,82.7195122,6.467,0.878,0.803,-0.124,0.656,0.759,0.216,Europe,0.9559755657828227
Italy,2014,83.0902439,6.027,0.898,0.624,-0.071,0.92,0.659,0.356,Europe,0.9540222465187855
New Zealand,2014,81.45682927,7.306,0.942,0.932,0.341,0.273,0.807,0.199,Oceania,0.949876418350592
Malta,2014,82.04634146,6.452,0.941,0.904,0.395,0.67,0.606,0.352,Europe,0.9436779108159113
Finland,2014,81.1804878,7.385,0.952,0.933,-0.007,0.265,0.766,0.199,Europe,0.940225586053371
Ireland,2014,81.34878049,7.018,0.968,0.922,0.257,0.406,0.736,0.229,Europe,0.938326316901212
Austria,2014,81.4902439,6.95,0.899,0.885,0.112,0.567,0.721,0.17,Europe,0.9379807750615979
Denmark,2014,80.7,7.508,0.956,0.942,0.112,0.237,0.78,0.233,Europe,0.9320150041957348
