Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2015,82.89756098,7.572,0.938,0.928,0.102,0.21,0.794,0.166,Europe,1.0
Iceland,2015,82.46829268,7.498,0.98,0.94,0.294,0.639,0.794,0.18,Europe,0.990905182090382
Norway,2015,82.30487805,7.603,0.947,0.948,0.249,0.299,0.796,0.209,Europe,0.9866545279962861
Australia,2015,82.4,7.309,0.952,0.922,0.327,0.357,0.75,0.21,Oceania,0.9814013186141445
Japan,2015,83.79390244,5.88,0.923,0.832,-0.162,0.654,0.702,0.176,Asia,0.9743588843432752
Sweden,2015,82.20487805,7.289,0.929,0.935,0.206,0.232,0.766,0.191,Europe,0.9730641335619246
Canada,2015,81.81560976,7.413,0.939,0.931,0.247,0.427,0.792,0.286,North America,0.9679434854507255
Singapore,2015,82.74390244,6.62,0.866,0.887,0.144,0.099,0.736,0.142,Asia,0.965944687535204
Spain,2015,82.83170732,6.381,0.956,0.732,-0.078,0.822,0.705,0.285,Europe,0.9629196279216408
New Zealand,2015,81.61243902,7.418,0.987,0.942,0.322,0.186,0.795,0.16,Oceania,0.9617098843960732
Israel,2015,82.05121951,7.079,0.864,0.753,0.103,0.789,0.652,0.256,Asia,0.9608466237493815
Luxembourg,2015,82.29268293,6.702,0.934,0.932,0.044,0.375,0.728,0.193,Europe,0.9572653684728127
Finland,2015,81.4804878,7.448,0.948,0.93,0.105,0.223,0.736,0.191,Europe,0.9554078287029462
Netherlands,2015,81.5097561,7.324,0.879,0.904,0.256,0.412,0.742,0.202,Europe,0.9545470931779976
Malta,2015,81.89756098,6.613,0.919,0.912,0.339,0.664,0.641,0.355,Europe,0.9479274518795086
France,2015,82.32195122,6.358,0.896,0.817,-0.145,0.641,0.74,0.215,Europe,0.9460752427304986
Ireland,2015,81.45365854,6.83,0.953,0.892,0.226,0.409,0.748,0.225,Europe,0.9392802560120205
Austria,2015,81.1902439,7.076,0.928,0.9,0.093,0.557,0.748,0.164,Europe,0.9375544358058489
Denmark,2015,80.70243902,7.514,0.96,0.941,0.216,0.191,0.801,0.218,Europe,0.9371919616395399
Italy,2015,82.54390244,5.848,0.909,0.575,-0.07,0.913,0.646,0.329,Europe,0.9371592774023276
