Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2010,82.177,7.597,0.941,0.907,0.134,0.298,0.754,0.197,Europe,1.0
Iceland,2010,81.988,7.139,0.977,0.896,0.26,0.696,0.837,0.155,Europe,0.9880402593344013
Australia,2010,81.69512195,7.45,0.955,0.932,0.311,0.366,0.762,0.22,Oceania,0.9870759885015845
Canada,2010,81.32219512,7.65,0.954,0.934,0.225,0.413,0.791,0.233,North America,0.9825290342422605
Sweden,2010,81.45121951,7.496,0.97,0.905,0.136,0.253,0.788,0.2,Europe,0.9799105006126204
Israel,2010,81.60243902,7.359,0.882,0.561,0.145,0.902,0.628,0.362,Asia,0.9785022054337206
Japan,2010,82.84268293,6.057,0.902,0.772,-0.147,0.77,0.779,0.188,Asia,0.976345481489932
Norway,2010,80.807,7.628,0.941,0.948,0.066,0.335,0.773,0.177,Europe,0.9667944819512577
France,2010,81.66341463,6.798,0.943,0.85,-0.109,0.623,0.729,0.261,Europe,0.9661698231089375
Netherlands,2010,80.70243902,7.502,0.957,0.921,0.344,0.399,0.745,0.206,Europe,0.9639084447376645
Italy,2010,82.03658537,6.354,0.872,0.738,-0.065,0.921,0.535,0.236,Europe,0.9624636115837352
New Zealand,2010,80.90487805,7.224,0.976,0.918,0.247,0.321,0.783,0.235,Oceania,0.961364681561363
Ireland,2010,80.74390244,7.257,0.973,0.856,0.341,0.618,0.763,0.201,Europe,0.9595844706909462
Austria,2010,80.5804878,7.303,0.914,0.896,0.125,0.546,0.71,0.156,Europe,0.9532346807676852
Singapore,2010,81.54146341,6.531,0.864,0.846,-0.024,0.06,0.527,0.131,Asia,0.951101065265163
Spain,2010,81.62682927,6.188,0.95,0.796,-0.144,0.84,0.645,0.322,Europe,0.949865056574385
Luxembourg,2010,80.63170732,7.097,0.952,0.908,0.086,0.423,0.718,0.216,Europe,0.9492717336415447
United Kingdom,2010,80.40243902,7.029,0.955,0.841,0.397,0.587,0.753,0.176,Europe,0.9453115688540771
Finland,2010,79.87073171,7.393,0.935,0.916,0.085,0.413,0.758,0.202,Europe,0.9379177776510097
Malta,2010,81.39756098,5.774,0.908,0.802,0.278,0.688,0.624,0.375,Europe,0.9370404969418582
