Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2018,83.75365854,7.509,0.93,0.926,0.094,0.301,0.756,0.192,Europe,1.0
Iceland,2018,82.73,7.498,0.971,0.944,0.243,0.696,0.812,0.158,Europe,0.9754293525792216
Norway,2018,82.75853659,7.444,0.966,0.96,0.086,0.268,0.786,0.212,Europe,0.9705814141565452
Australia,2018,82.74878049,7.177,0.94,0.916,0.141,0.405,0.706,0.187,Oceania,0.9621980249282434
Sweden,2018,82.55853659,7.375,0.931,0.942,0.072,0.263,0.747,0.161,Europe,0.9613307730204442
Spain,2018,83.43170732,6.513,0.91,0.722,-0.081,0.777,0.636,0.357,Europe,0.9599305806654915
Japan,2018,84.21097561,5.794,0.886,0.773,-0.268,0.687,0.649,0.185,Asia,0.9584701002821748
Italy,2018,83.34634146,6.517,0.913,0.65,-0.027,0.888,0.598,0.403,Europe,0.9578898806282874
Israel,2018,82.80243902,6.927,0.91,0.725,0.048,0.77,0.612,0.282,Asia,0.9545262018408447
Singapore,2018,83.29756098,6.375,0.903,0.916,-0.073,0.097,0.731,0.107,Asia,0.9501194430109025
Finland,2018,81.73414634,7.858,0.962,0.938,-0.133,0.199,0.749,0.182,Europe,0.9492759703550203
Luxembourg,2018,82.29512195,7.243,0.902,0.884,-0.028,0.385,0.715,0.202,Europe,0.948415012955081
Malta,2018,82.44878049,6.91,0.932,0.927,0.17,0.595,0.666,0.296,Europe,0.9475621686484365
Netherlands,2018,81.81219512,7.463,0.939,0.92,0.156,0.371,0.748,0.205,Europe,0.9441387612870887
France,2018,82.67560976,6.666,0.921,0.816,-0.143,0.582,0.705,0.282,Europe,0.942372784645435
Ireland,2018,82.20487805,6.962,0.938,0.861,0.138,0.362,0.754,0.213,Europe,0.9402011576403722
New Zealand,2018,81.70731707,7.37,0.954,0.949,0.113,0.207,0.785,0.168,Oceania,0.9377476736935865
Austria,2018,81.69268293,7.396,0.912,0.904,0.048,0.523,0.695,0.226,Europe,0.9374427368897086
Canada,2018,81.84390244,7.175,0.923,0.946,0.1,0.372,0.773,0.259,North America,0.9368640559506488
Denmark,2018,80.95365854,7.649,0.958,0.935,0.012,0.151,0.773,0.206,Europe,0.9226226595113015
