Country Name,Year,Life Expectancy At Birth,Life Ladder,Social Support,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Continent,Score
Switzerland,2019,83.90487805,7.694,0.949,0.913,0.029,0.294,0.743,0.171,Europe,1.0
Iceland,2019,83.16341463,7.533,0.982,0.959,0.189,0.699,0.787,0.178,Europe,0.9799044249739766
Sweden,2019,83.1097561,7.398,0.934,0.942,0.085,0.25,0.775,0.202,Europe,0.9700662512104931
Norway,2019,82.95853659,7.442,0.942,0.954,0.103,0.271,0.782,0.195,Europe,0.9676094120280141
Spain,2019,83.83170732,6.457,0.949,0.778,-0.054,0.73,0.636,0.316,Europe,0.9623605460628107
Australia,2019,82.9,7.234,0.943,0.918,0.115,0.43,0.727,0.202,Oceania,0.9600888433565256
Israel,2019,82.80487805,7.332,0.946,0.834,0.078,0.743,0.598,0.266,Asia,0.9595054203440494
Japan,2019,84.35634146,5.908,0.878,0.806,-0.261,0.617,0.693,0.194,Asia,0.9581369346812294
Luxembourg,2019,82.63902439,7.404,0.912,0.93,-0.051,0.39,0.742,0.212,Europe,0.9553987155971645
Ireland,2019,82.70243902,7.255,0.944,0.892,0.067,0.373,0.758,0.223,Europe,0.9543870513174314
Singapore,2019,83.59512195,6.378,0.925,0.938,0.02,0.07,0.674,0.138,Asia,0.9514441418559982
Italy,2019,83.49756098,6.445,0.838,0.709,-0.088,0.866,0.569,0.328,Europe,0.9501659365898689
Finland,2019,81.98292683,7.78,0.937,0.948,-0.058,0.195,0.732,0.181,Europe,0.9464464238765201
Malta,2019,82.85853659,6.733,0.922,0.924,0.077,0.689,0.642,0.356,Europe,0.9454459928341226
Netherlands,2019,82.11219512,7.425,0.941,0.886,0.207,0.36,0.728,0.231,Europe,0.943559956649478
France,2019,82.82682927,6.69,0.958,0.827,-0.139,0.568,0.693,0.25,Europe,0.9394614341161355
Canada,2019,82.22390244,7.109,0.925,0.912,0.105,0.436,0.781,0.285,North America,0.9380477391719675
New Zealand,2019,82.05609756,7.205,0.939,0.912,0.15,0.234,0.765,0.191,Oceania,0.9348123553062027
Denmark,2019,81.45121951,7.693,0.958,0.963,0.015,0.174,0.797,0.181,Europe,0.9307163288582949
Austria,2019,81.89512195,7.195,0.964,0.903,0.054,0.457,0.727,0.205,Europe,0.9299573380761834
