Country Name,Positive Affect
Panama,0.8224705882352941
Paraguay,0.8171764705882353
Iceland,0.8136470588235295
Guatemala,0.8135882352941176
El Salvador,0.8125882352941176
Costa Rica,0.8078823529411765
Ecuador,0.7918235294117647
Philippines,0.7871176470588236
Thailand,0.7861764705882353
Colombia,0.7854117647058824
Denmark,0.7843529411764706
Canada,0.7828823529411766
Norway,0.7827647058823529
Honduras,0.7825294117647059
Trinidad and Tobago,0.7810588235294118
New Zealand,0.7804705882352941
Nicaragua,0.7742352941176471
Sweden,0.7618823529411765
Mexico,0.7611176470588236
Indonesia,0.7586470588235295
Switzerland,0.7560588235294118
Ireland,0.7559411764705882
United States,0.7555882352941177
Chile,0.755
Peru,0.7467058823529412
Argentina,0.739
Uruguay,0.7382941176470589
Somalia,0.7378823529411765
Australia,0.737
Eswatini,0.7354705882352941
Finland,0.7347647058823529
Nigeria,0.7332941176470588
Senegal,0.7314705882352941
Netherlands,0.7305294117647059
Malaysia,0.7280588235294118
Jamaica,0.7251176470588235
United Kingdom,0.7250588235294118
Sri Lanka,0.725
Dominican Republic,0.723764705882353
South Africa,0.7217647058823529
Bhutan,0.7209411764705882
Bolivia,0.7206470588235294
Kenya,0.7203529411764706
Belgium,0.7198823529411764
Luxembourg,0.7175294117647059
Austria,0.7167058823529411
United Arab Emirates,0.7145882352941176
Namibia,0.7126470588235294
Lesotho,0.7120588235294117
Mauritania,0.7102941176470587
