Country Name,Social Support
Iceland,0.9771176470588235
Denmark,0.9561176470588234
New Zealand,0.9529411764705882
Finland,0.9520588235294117
Ireland,0.9509411764705883
Norway,0.9482352941176471
Australia,0.945235294117647
Turkmenistan,0.9432352941176471
Switzerland,0.9398235294117647
Spain,0.9381176470588235
United Kingdom,0.934235294117647
Netherlands,0.9330588235294117
Canada,0.932764705882353
Slovenia,0.9308235294117647
Sweden,0.9274705882352942
Mongolia,0.9245882352941176
Lithuania,0.9240588235294117
Malta,0.9239411764705883
Austria,0.9228235294117647
United States,0.9213529411764706
France,0.9201176470588235
Belgium,0.9196470588235295
Czechia,0.9192941176470588
Luxembourg,0.9188823529411765
Germany,0.918235294117647
Uzbekistan,0.9172941176470588
Estonia,0.9165294117647058
Poland,0.9122352941176471
Hungary,0.9084705882352941
Belarus,0.9078235294117647
Israel,0.907235294117647
Paraguay,0.9057058823529411
Uruguay,0.9031176470588235
Argentina,0.9024117647058825
Japan,0.9019411764705882
Panama,0.9018823529411765
Kazakhstan,0.9003529411764707
Costa Rica,0.8994705882352941
Italy,0.8935294117647059
Brazil,0.8881764705882353
Thailand,0.8881764705882353
Trinidad and Tobago,0.8856470588235295
Bulgaria,0.8826470588235293
Colombia,0.881235294117647
Bahrain,0.8801764705882353
Singapore,0.8801176470588236
Latvia,0.8795882352941176
Portugal,0.879235294117647
Jamaica,0.8787647058823529
Kuwait,0.8744705882352941
