Country Name,Freedom To Make Life Choices
Norway,0.9512352941176471
Finland,0.9422941176470587
Denmark,0.9418235294117646
Cambodia,0.935235294117647
Sweden,0.9281764705882353
Iceland,0.9215882352941176
Uzbekistan,0.9203529411764706
Somalia,0.9199411764705883
Canada,0.9191764705882353
Switzerland,0.917470588235294
New Zealand,0.9154117647058824
Australia,0.9151176470588236
United Arab Emirates,0.915
Slovenia,0.9112941176470589
Luxembourg,0.908235294117647
Costa Rica,0.9079411764705883
Qatar,0.9052941176470588
Netherlands,0.9009411764705882
Philippines,0.8986470588235295
Austria,0.8966470588235295
Ireland,0.8917058823529412
Thailand,0.8750588235294118
Malta,0.8738235294117648
Bahrain,0.8713529411764707
Uruguay,0.8668823529411764
Rwanda,0.8663529411764705
Dominican Republic,0.8609411764705882
Germany,0.8561176470588235
Belgium,0.8527058823529412
Singapore,0.8507647058823529
China,0.8458235294117646
United Kingdom,0.8437058823529412
Mauritius,0.8419411764705882
United States,0.8354117647058823
Kuwait,0.8331176470588235
Trinidad and Tobago,0.832764705882353
Bolivia,0.8310000000000001
Malaysia,0.8309411764705882
Portugal,0.826
France,0.8257058823529411
Bhutan,0.8249411764705882
Nicaragua,0.8223529411764706
Panama,0.8219411764705883
Botswana,0.8155294117647058
Poland,0.8140588235294118
Czechia,0.8121764705882353
Colombia,0.811235294117647
Sri Lanka,0.8095294117647059
Jamaica,0.8091764705882353
Kazakhstan,0.8074117647058824
